set,empiar_id,stack,class_idx,n_particles,cryosift_score,geom_corruption_median,n_good_lines,view_group,true_view_spread_deg,is_single_view,projection_match,projection_peakedness,keep_cryosift_absolute,keep_cryosift_quantile
10081_baseline,10081,baseline,0,1482,2.413,0.7266,15,0,18.7,0,0.819,0.094,1,1
10081_baseline,10081,baseline,1,790,4.200,0.7106,12,0,32.2,0,0.207,0.022,1,1
10081_baseline,10081,baseline,2,1027,4.125,0.6823,17,0,52.9,0,0.368,0.015,1,1
10081_baseline,10081,baseline,3,753,4.766,0.7069,11,1,39.6,0,0.367,0.002,0,0
10081_baseline,10081,baseline,4,789,4.099,0.7138,11,0,36.7,0,0.326,0.010,1,1
10081_baseline,10081,baseline,5,1083,4.430,0.7176,11,0,56.6,0,0.252,0.002,1,0
10081_baseline,10081,baseline,6,996,4.564,0.7356,11,0,50.1,0,0.351,0.046,0,0
10081_baseline,10081,baseline,7,3187,2.155,0.7075,7,0,12.6,1,0.829,0.112,1,1
10081_baseline,10081,baseline,8,228,5.172,0.7257,10,0,39.5,0,0.469,0.025,0,0
10081_baseline,10081,baseline,9,731,4.811,0.6825,21,2,35.2,0,0.339,0.026,0,0
10081_baseline,10081,baseline,10,3227,2.302,0.7145,13,0,15.0,0,0.831,0.194,1,1
10081_baseline,10081,baseline,11,1070,4.241,0.6915,14,3,43.3,0,0.461,0.074,1,0
10081_baseline,10081,baseline,12,871,3.630,0.7257,10,0,51.7,0,0.513,0.010,1,1
10081_baseline,10081,baseline,13,2465,2.448,0.6923,16,0,11.5,1,0.928,0.258,1,1
10081_baseline,10081,baseline,14,1709,2.656,0.7133,14,0,11.6,1,0.814,0.330,1,1
10081_baseline,10081,baseline,15,1260,4.679,0.6993,9,0,48.6,0,0.180,0.004,0,0
10081_baseline,10081,baseline,16,776,4.452,0.7523,5,4,37.9,0,0.289,0.019,1,0
10081_baseline,10081,baseline,17,1497,4.663,0.7326,12,0,20.6,0,0.513,0.063,0,0
10081_baseline,10081,baseline,18,1425,3.908,0.7384,6,0,42.9,0,0.620,0.022,1,1
10081_baseline,10081,baseline,19,1496,2.132,0.7172,8,0,17.0,0,0.831,0.195,1,1
10081_baseline,10081,baseline,20,1010,3.607,0.7097,10,0,44.7,0,0.448,0.006,1,1
10081_baseline,10081,baseline,21,1652,3.737,0.7350,8,0,41.5,0,0.730,0.116,1,1
10081_baseline,10081,baseline,22,625,4.809,0.7131,13,5,36.3,0,0.334,0.043,0,0
10081_baseline,10081,baseline,23,640,4.629,0.7145,9,0,40.5,0,0.369,0.040,0,0
10081_baseline,10081,baseline,24,2897,2.365,0.6956,16,0,11.8,1,0.771,0.088,1,1
10081_baseline,10081,baseline,25,671,4.230,0.7379,3,0,46.2,0,0.368,0.049,1,0
10081_baseline,10081,baseline,26,2110,2.060,0.7251,12,0,8.4,1,0.773,0.388,1,1
10081_baseline,10081,baseline,27,1277,4.711,0.7379,8,0,41.7,0,0.185,0.007,0,0
10081_baseline,10081,baseline,28,1972,2.376,0.7180,15,0,23.6,0,0.780,0.008,1,1
10081_baseline,10081,baseline,29,631,4.895,0.7082,9,6,33.6,0,0.350,0.005,0,0
10081_baseline,10081,baseline,30,1698,2.015,0.6883,18,0,15.3,0,0.749,0.125,1,1
10081_baseline,10081,baseline,31,4700,3.154,0.7175,10,0,15.6,0,0.826,0.108,1,1
10081_baseline,10081,baseline,32,600,4.876,0.7117,7,7,34.2,0,0.338,0.047,0,0
10081_baseline,10081,baseline,33,1137,4.129,0.7332,10,0,43.6,0,0.530,0.106,1,1
10081_baseline,10081,baseline,34,990,4.250,0.7026,13,0,43.5,0,0.556,0.127,1,0
10081_baseline,10081,baseline,35,1292,4.370,0.7197,10,0,45.9,0,0.566,0.142,1,0
10081_baseline,10081,baseline,36,588,4.927,0.6831,18,0,47.5,0,0.413,0.008,0,0
10081_baseline,10081,baseline,37,1180,3.872,0.7196,7,0,30.8,0,0.309,0.051,1,1
10081_baseline,10081,baseline,38,642,4.405,0.7161,11,0,39.3,0,0.425,0.022,1,0
10081_baseline,10081,baseline,39,2331,2.523,0.6734,19,0,15.5,0,0.829,0.011,1,1
10081_baseline,10081,baseline,40,1664,4.674,0.6895,16,0,10.6,1,0.539,0.035,0,0
10081_baseline,10081,baseline,41,1709,4.708,0.7214,12,0,41.3,0,0.238,0.032,0,0
10081_baseline,10081,baseline,42,641,4.739,0.7298,11,0,34.8,0,0.424,0.057,0,0
10081_baseline,10081,baseline,43,923,4.527,0.7261,12,0,43.8,0,0.186,0.019,0,0
10081_baseline,10081,baseline,44,1631,2.451,0.7153,12,0,10.3,1,0.780,0.049,1,1
10081_baseline,10081,baseline,45,709,4.490,0.7154,9,0,39.5,0,0.401,0.038,1,0
10081_baseline,10081,baseline,46,2580,2.044,0.6838,19,0,13.4,1,0.919,0.220,1,1
10081_baseline,10081,baseline,47,1552,4.552,0.7298,4,0,8.7,1,0.721,0.319,0,0
10081_baseline,10081,baseline,48,951,3.929,0.7122,12,0,55.1,0,0.510,0.025,1,1
10081_baseline,10081,baseline,49,1868,2.336,0.7216,12,0,13.3,1,0.784,0.015,1,1
10081_cleaner_tri,10081,cleaner_tri,0,1705,1.877,0.7277,10,0,12.5,1,,,1,1
10081_cleaner_tri,10081,cleaner_tri,1,847,4.127,0.7244,7,1,30.0,0,,,1,1
10081_cleaner_tri,10081,cleaner_tri,2,897,4.171,0.7238,7,0,44.5,0,,,1,1
10081_cleaner_tri,10081,cleaner_tri,3,894,4.729,0.7138,12,0,43.7,0,,,0,0
10081_cleaner_tri,10081,cleaner_tri,4,704,4.093,0.7008,10,2,45.6,0,,,1,1
10081_cleaner_tri,10081,cleaner_tri,5,1078,4.284,0.7042,7,0,51.5,0,,,1,0
10081_cleaner_tri,10081,cleaner_tri,6,630,4.443,0.7208,9,0,43.2,0,,,1,0
10081_cleaner_tri,10081,cleaner_tri,7,2986,1.988,0.7038,13,0,12.6,1,,,1,1
10081_cleaner_tri,10081,cleaner_tri,8,186,5.163,0.7028,10,1,33.9,0,,,0,0
10081_cleaner_tri,10081,cleaner_tri,9,655,4.427,0.6875,8,1,38.3,0,,,1,0
10081_cleaner_tri,10081,cleaner_tri,10,1296,3.864,0.7162,7,0,12.6,1,,,1,1
10081_cleaner_tri,10081,cleaner_tri,11,1159,4.526,0.7240,6,0,43.5,0,,,0,0
10081_cleaner_tri,10081,cleaner_tri,12,2367,2.087,0.7248,10,0,14.4,1,,,1,1
10081_cleaner_tri,10081,cleaner_tri,13,2204,2.174,0.6953,11,0,10.7,1,,,1,1
10081_cleaner_tri,10081,cleaner_tri,14,965,3.694,0.6985,15,0,40.2,0,,,1,1
10081_cleaner_tri,10081,cleaner_tri,15,605,4.738,0.7258,7,0,39.1,0,,,0,0
10081_cleaner_tri,10081,cleaner_tri,16,692,4.451,0.6983,10,1,39.0,0,,,1,0
